Decyzja Klasyfikacyjna;Artykuł Skazania;Korzyść majątkowa;środki odurzające;wiek obecnie;wiek w czasie popełnienia czynu;długośćwykonywanej kary;pozostały okres kary;stan cywilny;dzieci;miejsce przebywania rodziny;wykształcenie;liczba telefonów;telefony po zmianach;korespondencja;widzenia;przepustki losowe;przepustki w formie nagrody;przepustki regulaminowe;inne formy kontaktu;szczepienie;miejsce szczepienia;kompensacja widzeń ;kompensacja długością telefonów;kontakt z obrońcą;częstsza korespondencja;poczucie bezpieczeństwa;działania administracji;;Zakład
P2;148;B;C;D;B;E;D;E;A;D;G;A;B;D;C;A;A;A;D;A;A;A;B;B;D;C;D;;1
P2;148;B;C;D;B;E;D;E;A;D;D;A;B;D;C;A;E;E;D;A;A;A;B;B;D;C;D;;1
P2P;57, 58,59, 62 NARKOMANII;C;C;C;C;D;C;C;C;D;D;A;B;C;A;A;A;A;D;A;A;B;B;B;A;C;C;;1
P2;148;C;C;C;C;D;C;B;C;C;D;B;C;C;C;A;A;A;D;A;A;B;B;A;E;E;E;;1
P2;148;C;B;D;C;E;D;F;C;D;D;A;B;C;A;A;A;A;D;A;A;B;B;B;E;E;E;;1
P2P;148;B;B;D;B;E;E;E;A;D;G;A;B;C;D;A;A;A;D;A;A;A;A;B;C;B;B;;1
;148;B;C;E;E;E;E;F;A;D;B;A;A;C;C;E;A;A;D;A;A;A;A;B;D;E;A;;1
;280;A;C;D;C;E;D;B;C;D;F;A;A;C;C;A;A;A;E;B;;A;A;B;D;B;D;;1
P2;;C;B;B;B;D;A;E;B;C;C;A;B;C;D;A;A;A;D;B;;A;B;B;C;B;C;;1
P2;148;C;C;A;A;E;E;F;A;D;G;B;C;C;A;A;A;A;D;A;A;A;B;B;D;C;D;;1
P2P;148;C;S;V;B;E;E;F;A;C;A;A;B;C;B;A;A;A;D;A;A;B;B;B;C;E;E;;1
P2P;280;B;C;B;A;E;D;F;A;D;C;B;A;C;A;A;A;A;D;A;B;B;A;E;E;E;"BRAK MOZLIWOSCI TELEFONU PODCZAS ""KWARANTANNY"" POMIMO POSIADANIA ŚRODKÓW OCHRONY OSOBITEJ I OCZYWISTEJ IZOLACJI OD INNYCH OSADZONYCH (W KOŃCU JEST TO ZK) BEZSENS KWARANTANNY POLEGAŁ TAKŻE NA TYM, ŻE POSIŁKI WYDAWALI NAM WYDAJĄCY POSILKI W OBECNOSCI FUNKCJONARIUSZA NIE POWINNO MIEĆ MIEJSCA";;1
P2P;148;C;C;B;A;E;B;F;A;D;G;A;B;D;C;A;A;A;D;A;A;B;B;B;D;E;D;;1
P2P;148;C;C;C;B;E;E;F;A;D;F;A;B;C;E;A;A;A;D;A;A;A;A;B;B;C;B;;1
P2;148;C;C;D;D;E;E;B;B;A;D;C;B;C;C;A;A;A;D;A;A;B;A;A;A;D;B;;1
P2P;148;A;A;B;B;E;E;F;A;C;D;C;A;B;C;A;A;A;D;A;A;A;B;A;C;D;E;;1
;;C;C;E;E;B;A;B;B;B;G;B;B;C;A;A;A;A;D;A;B;;;;;;;;1
;280;C;C;D;D;C;B;D;A;C;D;E;C;C;A;A;A;A;D;A;B;;;;;;;;1
P2Z;178;C;B;B;B;A;A;E;B;A;D;A;B;B;D;A;A;A;D;C;;;;;;;;;1
P2P;148;C;B;D;C;E;E;F;C;D;G;B;C;D;A;A;A;A;D;A;A;;;;;;;;1
;;A;C;E;E;A;A;A;C;C;D;A;B;D;E;A;A;A;D;A;B;;;;;;;;1
P2;;B;C;B;A;A;A;E;B;D;E;C;B;B;A;A;A;A;D;B;;;;;;;;;1
;;C;C;D;C;A;A;F;A;D;B;A;B;B;B;A;A;A;D;C;;;;;;;;;1
;;C;C;E;E;A;A;B;B;D;C;E;C;D;A;A;A;A;D;A;B;;;;;;;;1
;;C;C;E;E;A;A;F;B;C;D;A;C;C;C;A;A;A;D;A;B;;;;;;;;1
;;C;C;D;E;A;A;B;C;D;B;E;C;D;A;A;A;A;D;B;;;;;;;;;1
N;161;C;B;B;A;C;C;E;B;C;C;C;C;D;C;A;A;A;D;B;;;;;;;;;1
;;B;B;C;C;D;C;F;A;D;G;A;B;D;B;B;A;A;B;A;A;;;;;;;;1
;287, 278;C;C;C;C;D;C;F;B;C;G;A;B;C;C;A;A;A;E;A;A;;;;;;;;1
P2;279;C;C;D;D;B;A;E;A;D;B;B;B;C;A;A;A;A;D;A;A;;;;;;;;1
P2P;223;C;C;B;B;D;D;F;C;C;B;A;B;C;E;A;A;A;D;A;A;;;;;;;;1
P2P;148;C;B;D;C;E;E;F;C;D;G;B;C;C;C;A;A;A;D;A;A;;;;;;;;1
P2P;177;C;C;C;C;C;C;A;A;C;D;A;B;C;E;A;A;A;E;B;;;;;;;;;1
P2P;56 NARKOMANII;C;C;C;C;B;B;E;E;C;C;A;B;C;E;A;A;A;B;B;;;;;;;;;1
P2;;C;C;D;C;C;B;F;C;C;G;C;C;C;B;A;A;A;D;A;B;;;;;;;;1
P2P;310;B;C;B;A;D;B;E;A;D;D;B;B;C;A;A;A;A;D;A;A;;;;;;;;1
P2P;244;C;B;B;A;D;C;F;A;D;C;A;B;C;D;A;A;A;E;A;B;;;;;;;;1
P2;;A;A;E;E;D;A;A;D;C;G;A;B;C;E;A;A;A;B;A;A;;;;;;;;1
P2;;C;C;D;C;D;C;E;E;C;G;B;;C;E;A;A;A;B;A;B;;;;;;;;1
P2;;C;C;D;D;D;A;E;C;B;G;A;B;C;E;A;A;A;B;A;A;;;;;;;;1
P2Z;284;B;B;D;D;B;B;E;A;D;D;A;A;D;A;A;A;A;D;A;B;;;;;;;;1
;280;C;C;D;D;C;A;C;A;A;D;E;B;C;A;A;A;A;D;A;B;;;;;;;;1
P2Z;178;C;B;B;B;A;A;F;B;C;C;A;B;D;C;A;A;A;D;B;; ;;;;;;;1
P2;285;B;C;E;E;C;A;B;C;A;G;A;B;D;E;A;A;A;B;A;A;;;;;;;;1
P2P;223;C;B;B;B;C;E;F;B;B;D;A;B;D;E;A;A;A;D;A;A;;;;;;;;1
P2;65 NARKOMANII;C;C;D;C;D;B;E;A;D;H;A;A;C;C;A;A;A;D;A;A;;;;;;;;1
